District,Site,Site_EQRiskLevel,BuildingArea_HasRetrofit
Tumwater,Littlerock Elementary School,Moderate,No
Tumwater,Michael T. Simmons Elementary School,Moderate,No
Tumwater,Peter G. Schmidt Elementary School,Moderate,No
Tumwater,Tumwater High School,Very High,No
Tumwater,Tumwater Hill Elementary School,Moderate,No
Tumwater,Tumwater Middle School,Very High,No
Union Gap,Union Gap School,,No
University Place,Chambers Elementary School,,No
University Place,Curtis Junior High School,,No
University Place,Curtis Senior High School,,No
University Place,Drum Intermediate,,No
University Place,Evergreen Primary School,,No
University Place,Narrows View Intermediate School,,No
University Place,Sunset Primary School,,No
University Place,University Place Primary School,,No
Valley,Valley K8 Addition  (Phase 3),,No
Valley,Valley School,,No
Vancouver,Alki Middle School,,No
Vancouver,Benjamin Franklin Elementary School,,No
Vancouver,Chinook Elementary School,,No
Vancouver,Columbia River High School,,No
Vancouver,Discovery Middle School,,No
Vancouver,Dwight D. Eisenhower Elementary School,,No
Vancouver,Felida Elementary School,,No
Vancouver,Fir Grove Childrens Center,,No
Vancouver,Fort Vancouver High School,,No
Vancouver,Fruit Valley Elementary School,,No
Vancouver,Gaiser Middle School,,No
Vancouver,GATE Program,,No
Vancouver,George C. Marshall Elementary School,,No
Vancouver,Harney Elementary School,,No
Vancouver,Harry S. Truman Elementary School (old),,No
Vancouver,Hazel Dell Elementary School,,No
Vancouver,Hough Elementary School,,No
Vancouver,Hudson's Bay High School,,No
Vancouver,Jason Lee Middle School,,No
Vancouver,Lake Shore Elementary School,,No
Vancouver,Lewis and Clark High School,,No
Vancouver,Lieser Campus,,No
Vancouver,Lincoln Elementary School,,No
Vancouver,Martin Luther King Jr. Elementary School (old),,No
Vancouver,McLoughlin Middle School,,No
Vancouver,Minnehaha Elementary School,,No
Vancouver,Peter S. Ogden Elementary School,,No
Vancouver,Roosevelt Elementary School,,No
Vancouver,Sacajawea Elementary School,,No
Vancouver,Salmon Creek Elementary School,,No
Vancouver,Sarah J. Anderson Elementary School,,No
Vancouver,Skyview High School,,No
Vancouver,Thomas Jefferson Middle School,,No
Vancouver,Vancouver School of Arts and Academics,,No
Vancouver,Walnut Grove Elementary School,,No
Vancouver,Washington Elementary School,,No
Vashon Island,Chautauqua Elementary School,,No
Vashon Island,McMurray Middle School,,No
Vashon Island,Vashon Island High School,Very High,No
Wa He Lut,Wa He Lut Campus,,No
Wahkiakum,Julius A. Wendt Elementary/John C. Thomas Middle School,,Yes
Wahkiakum,Julius A. Wendt Elementary/John C. Thomas Middle School,,No
Wahkiakum,Wahkiakum High School,,No
Wahluke,Mattawa Elementary School,,No
Wahluke,Morris Schott Elementary School,,No
Wahluke,Saddle Mountain Elementary School,,No
Wahluke,Wahluke High School,,No
Wahluke,Wahluke Junior High School,,No
Waitsburg,Preston Hall Middle School,,No
Waitsburg,Waitsburg Elementary School,,No
Waitsburg,Waitsburg High School,,No
Walla Walla,Berney Elementary School,,No
Walla Walla,Blue Ridge Elementary School,,No
Walla Walla,Edison Elementary School,,No
Walla Walla,Garrison Middle School,,No
Walla Walla,Green Park Elementary School,,No
Walla Walla,Lincoln High School,,No
Walla Walla,Pioneer Middle School,,No
Walla Walla,Prospect Point Elementary School,,No
Walla Walla,Sharpstein Elementary School,,No
Walla Walla,Walla Walla High School,,No
Wapato,Adams Elementary School,,No
Wapato,Camas Elementary School,,No
Wapato,Pace Alternative High School,,No
Wapato,Satus Elementary School,,No
Wapato,Wapato High School,,No
Wapato,Wapato Middle School,,No
Warden,Middle / High School,,No
Warden,Warden Elementary,,No
Washougal,Cape Horn-Skye ES/Canyon Creek MS,,No
Washougal,Gause Elementary School,,No
Washougal,Hathaway Elementary School,,No
Washougal,Jemtegaard MS / Columbia River Gorge ES,,No
Washougal,Washougal High School,,No
Washtucna,Washtucna Elementary High School,,No
Waterville,Waterville K12 Campus,Moderate,No
Wellpinit,Wellpinit Elementary School,,No
Wellpinit,Wellpinit High School/Middle School,,No
Wenatchee,Abraham Lincoln Elementary School,,No
Wenatchee,Columbia Elementary School,Moderate,No
Wenatchee,Foothills Middle School,Moderate,No
Wenatchee,John Newbery Elementary School,,No
Wenatchee,Lewis and Clark Elementary School,Moderate,No
Wenatchee,Mission View Elementary School,Low,No
Wenatchee,Orchard Middle School,,No
Wenatchee,Orchard Middle School,,Yes
Wenatchee,Pioneer Middle School,,No
Wenatchee,Pioneer Middle School,,Yes
Wenatchee,Special Education School,High,No
Wenatchee,Sunnyslope Elementary School,Low,No
Wenatchee,Sunnyslope Elementary School,Low,Yes
Wenatchee,Valley Academy Of Learning,High,No
Wenatchee,Washington Elementary School (new),,No
Wenatchee,Wenatchee High School,High,No
Wenatchee,Westside Alternative High School,,No
Wenatchee,Westside Alternative High School,,Yes
West Valley (Spokane),Centennial Middle School,,No
West Valley (Spokane),City School,,No
West Valley (Spokane),Millwood Kindergarten Center,,No
West Valley (Spokane),Ness Elementary School,,No
West Valley (Spokane),Orchard Center Elementary School,,No
West Valley (Spokane),Pasadena Park Elementary School,,No
West Valley (Spokane),Seth Woodard Elementary School,,No
West Valley (Spokane),Spokane Valley High School,,No
West Valley (Spokane),West Valley High School,,No
West Valley (Yakima),Ahtanum Valley Elementary School,,No
West Valley (Yakima),Apple Valley Elementary (new),,No
West Valley (Yakima),Cottonwood Elementary School,,No
West Valley (Yakima),Mountainview Elementary School,,No
West Valley (Yakima),Summitview Elementary (new),,No
West Valley (Yakima),West Valley High School,,No
West Valley (Yakima),West Valley High School Freshman Campus,,No
West Valley (Yakima),West Valley Junior High School,,No
West Valley (Yakima),West Valley Middle School,,No
West Valley (Yakima),Wide Hollow Elementary School,,No
White Pass,Packwood Elementary School,,No
White Pass,White Pass Elementary School,,No
White Pass,White Pass Junior Senior High School,,No
White River,Elk Ridge Elementary School,,No
White River,Foothills Elementary School,,No
White River,Glacier Middle School,,No
White River,Mountain Meadow Elementary School,,No
White River,White River Early Learning Center,,No
White River,White River High School,,No
White River,Wickersham Elementary School,,No
White River,Wilkeson Elementary School,,No
White Salmon Valley,Columbia High School,,No
White Salmon Valley,Hulan L. Whitson Elementary School,High,No
White Salmon Valley,Stevenson Intermediate School,Moderate,No
White Salmon Valley,Wayne M. Henkle Middle School,High,No
Wilbur,Wilbur Public School,,No
Willapa Valley,Willapa Elementary School,,No
Willapa Valley,Willapa Valley Middle High School,,No
Wilson Creek,Wilson Creek K-12,Moderate,No
Winlock,Winlock Middle-High School,,No
Winlock,Winlock Miller Elementary School,,No
Wishkah Valley,Wishkah Valley Elementary High School,,No
Wishram,Wishram High And Elementary School,,No
Woodland,Columbia Elementary School,,No
Woodland,North Fork Elementary School,Low,No
Woodland,Woodland High School (new),,No
Woodland,Woodland Middle School (old HS),High,No
Woodland,Yale Elementary School,Very High,No
Yakama Nation,Yakama Nation Tribal School,,No
Yakima,Adams Elementary School,Moderate,No
Yakima,Barge Lincoln Elementary School,Moderate,No
Yakima,Davis High School,,No
Yakima,Discovery Lab School,Moderate,No
Yakima,Eisenhower High School,,No
Yakima,Franklin Middle School,Low,No
Yakima,Garfield Elementary School,Moderate,No
Yakima,Gilbert Elementary School,Moderate,No
Yakima,Hoover Elementary School,,No
Yakima,Lewis and Clark Middle School,Moderate,No
Yakima,Martin Luther King Junior Elementary School,Moderate,No
Yakima,McClure Elementary School,High,No
Yakima,McKinley Elementary School,Moderate,No
Yakima,Nob Hill Elementary School,High,No
Yakima,Ridgeview Elementary School,Moderate,No
Yakima,Robertson Elementary School,Moderate,No
Yakima,Roosevelt Elementary School,Moderate,No
Yakima,Stanton Academy,Low,No
Yakima,Washington Middle School,Low,No
Yakima,Whitney Elementary School,Moderate,No
Yakima,Wilson Middle School,High,No
Yelm,District Office and Yelm Extension School,Low,No
Yelm,Fort Stevens Elementary School,,No
Yelm,Lackamas Elementary School,Very High,No
Yelm,McKenna Elementary School,Low,No
Yelm,Mill Pond Elementary School,Low,No
Yelm,Prairie Elementary School,,No
Yelm,Ridgeline Middle School,Low,No
Yelm,Southworth Elementary School,Very High,No
Yelm,Yelm High School,,No
Yelm,Yelm Middle School,High,No
Zillah,Hilton Elementary School,,No
Zillah,Zillah High School,,No
Zillah,Zillah Intermediate School,,No
Zillah,Zillah Middle School,,No
